date,epic,direction,pnl,exit,duration
2025-11-17T12:01:47.213006,GOLD,BUY,-1.7274285714283906,SL,80s
2025-11-17T12:03:27.305207,GOLD,SELL,-1.3571428571426623,SL,28s
2025-11-17T12:04:14.098982,GOLD,SELL,-1.4186000000004242,TrailSL,166s
2025-11-17T12:09:01.198951,GOLD,BUY,-1.298285714285612,SL,272s
2025-11-17T12:09:50.319874,GOLD,SELL,-1.0514285714284597,SL,49s
2025-11-17T12:09:50.440598,GOLD,SELL,-0.9267999999997301,TrailSL,79s
2025-11-17T12:13:03.399646,GOLD,BUY,-1.0937142857142135,SL,181s
2025-11-17T12:13:55.987915,GOLD,BUY,-0.6826000000000931,TrailSL,626s
2025-11-17T12:16:03.898224,GOLD,BUY,-1.079428571428707,SL,56s
2025-11-17T12:16:06.412739,GOLD,SELL,3.259142857142706,TP,636s
2025-11-17T12:16:08.902594,GOLD,SELL,2.7547142857142717,TP,182s
2025-11-17T12:16:53.639369,GOLD,SELL,3.2339999999999236,TP,593s
2025-11-17T12:18:03.992343,GOLD,SELL,2.9024285714285725,TP,237s
2025-11-17T12:18:42.874013,GOLD,SELL,0.9152999999996609,TrailSL,185s
2025-11-17T12:18:44.908324,GOLD,SELL,0.39719999999942956,TrailSL,157s
2025-11-17T12:18:45.128721,GOLD,SELL,-1.1834285714285215,SL,37s
2025-11-17T12:19:13.848038,GOLD,BUY,3.3911428571427678,TP,34s
2025-11-17T12:20:28.484813,GOLD,BUY,-1.321142857142604,SL,48s
2025-11-17T12:20:28.988244,GOLD,BUY,0.7442999999998392,TrailSL,79s
2025-11-17T12:21:38.593015,GOLD,SELL,3.7447142857140534,TP,88s
2025-11-17T12:22:58.048891,GOLD,SELL,-1.4902857142856192,SL,78s
2025-11-17T12:23:21.385982,GOLD,SELL,0.849999999999909,TrailSL,161s
2025-11-17T12:23:35.013060,GOLD,SELL,-0.7878999999998086,TrailSL,145s
2025-11-17T12:24:13.527424,GOLD,BUY,4.1469999999999345,TP,92s
2025-11-17T12:26:03.845612,GOLD,BUY,-0.01080000000047221,TrailSL,142s
2025-11-17T12:26:04.024662,GOLD,BUY,-1.2350999999998749,TrailSL,112s
2025-11-17T12:29:35.655389,GOLD,SELL,0.4207000000001244,TrailSL,263s
2025-11-17T12:29:35.655389,GOLD,SELL,-1.1546000000003005,TrailSL,203s
2025-11-17T12:31:36.033294,GOLD,BUY,4.027571428571264,TP,263s
2025-11-17T12:31:36.291680,GOLD,BUY,3.519999999999982,TP,21s
2025-11-17T12:34:35.669576,GOLD,BUY,-1.3811428571430042,SL,110s
2025-11-17T12:44:55.145284,GOLD,SELL,-0.6453999999998814,TrailSL,155s
2025-11-17T12:44:57.211066,GOLD,SELL,-0.16370000000051732,TrailSL,248s
2025-11-17T12:46:11.734034,GOLD,SELL,-0.5567000000005464,TrailSL,474s
2025-11-17T12:46:12.249396,GOLD,SELL,0.6059999999993124,TrailSL,717s
2025-11-17T12:46:15.815071,GOLD,SELL,-0.30770000000075015,TrailSL,569s
2025-11-17T12:47:19.346874,GOLD,BUY,-0.7739000000001397,TrailSL,113s
2025-11-17T12:47:20.865812,GOLD,BUY,-0.10249999999996362,TrailSL,146s
2025-11-17T12:47:54.014894,GOLD,SELL,2.611714285713788,TP,27s
2025-11-17T12:49:08.947805,GOLD,SELL,-0.12989999999990687,TrailSL,71s
2025-11-17T12:50:17.058356,GOLD,BUY,-1.0405714285711838,SL,49s
2025-11-17T12:51:03.371001,GOLD,SELL,2.7279999999996107,TP,34s
2025-11-17T12:51:52.845341,GOLD,SELL,2.8474285714282814,TP,53s
2025-11-17T12:53:19.085719,GOLD,SELL,-0.16589999999996508,TrailSL,79s
2025-11-17T12:53:19.086722,GOLD,SELL,-1.0231000000003405,TrailSL,49s
2025-11-17T12:55:20.318063,GOLD,BUY,3.358142857142866,TP,110s
2025-11-17T12:56:44.130227,GOLD,BUY,-1.2622857142855537,SL,12s
2025-11-17T12:57:11.911704,GOLD,BUY,0.7877999999996064,TrailSL,160s
2025-11-17T12:57:13.431568,GOLD,BUY,0.26919999999927313,TrailSL,102s
2025-11-17T13:00:05.800327,GOLD,SELL,3.673999999999978,TP,183s
2025-11-17T13:00:26.920339,GOLD,SELL,-0.5911000000000968,TrailSL,53s
2025-11-17T13:00:27.302416,GOLD,SELL,-1.288000000000011,SL,23s
2025-11-17T13:00:27.506269,GOLD,SELL,0.2381000000000313,TrailSL,84s
2025-11-17T13:01:24.674084,GOLD,BUY,3.809142857142888,TP,20s
2025-11-17T13:02:44.298103,GOLD,BUY,4.043285714285503,TP,70s
2025-11-17T13:05:08.841189,GOLD,BUY,4.239714285714399,TP,154s
2025-11-17T13:05:08.842189,GOLD,SELL,-1.7605714285714384,SL,33s
2025-11-17T13:05:22.907433,GOLD,BUY,4.6247142857141625,TP,138s
